packet_id,time_s,accel_x_mps2,accel_y_mps2,accel_z_mps2,acc_altitude_m,baro_altitude_m,pressure_pascals,temperature_c,gps_altitude_m,current_state,motor_target_degrees,motor_actual_degrees,motor_commanded_power,flap_target_degrees,fix_status
0,60.00,-0.64,-0.30,9.72,0.00,88.71,100263.95,24.76,0.00,0,0.00,0.00,-0.00,0.00,0
1,61.01,-0.65,-0.30,9.72,0.00,88.80,100262.90,24.78,0.00,0,0.00,0.00,-0.00,0.00,0
2,62.02,-0.65,-0.30,9.71,0.00,88.87,100262.07,24.78,0.00,0,0.00,0.00,-0.00,0.00,0
3,63.03,-0.65,-0.30,9.72,0.00,88.77,100263.31,24.79,0.00,0,0.00,0.00,-0.00,0.00,0
4,64.04,-0.65,-0.30,9.72,0.00,88.84,100262.49,24.79,0.00,0,0.00,0.00,-0.00,0.00,0
5,65.05,-0.64,-0.29,9.72,0.00,88.79,100263.09,24.79,0.00,0,0.00,0.00,-0.00,0.00,0
6,66.06,-0.65,-0.29,9.72,0.00,88.71,100264.03,24.82,0.00,0,0.00,0.00,-0.00,0.00,0
7,67.07,-0.64,-0.30,9.72,0.00,88.82,100262.70,24.80,0.00,0,0.00,0.00,-0.00,0.00,0
8,68.08,-0.64,-0.30,9.71,0.00,88.75,100263.51,24.80,0.00,0,0.00,0.00,-0.00,0.00,0
9,69.09,-0.65,-0.29,9.72,0.00,88.69,100264.27,24.80,0.00,0,0.00,0.00,-0.00,0.00,0
10,70.10,-0.64,-0.29,9.72,0.00,88.78,100263.14,24.83,0.00,0,0.00,0.00,-0.00,0.00,0
11,71.11,-0.79,-0.27,9.69,0.00,88.75,100263.55,24.86,0.00,0,0.00,0.00,-0.00,0.00,0
12,72.12,-0.63,-0.25,9.74,0.00,88.53,100266.17,24.90,0.00,0,0.00,0.00,-0.00,0.00,0
13,73.13,-0.62,0.37,9.75,0.00,88.43,100267.34,24.94,0.00,0,0.00,0.00,-0.00,0.00,0
14,73.35,-0.24,0.90,14.53,0.00,88.38,100267.92,24.95,0.00,1,0.00,0.00,-0.00,0.00,0
15,73.46,-0.66,1.21,16.96,0.04,88.47,100266.91,24.95,0.00,1,0.00,0.00,-0.00,0.00,0
16,73.57,-1.44,1.02,14.18,0.18,88.67,100264.50,24.95,0.00,1,0.00,0.00,-0.00,0.00,0
17,73.68,-0.44,0.37,3.63,0.35,88.90,100261.72,24.94,0.00,1,0.00,0.00,-0.00,0.00,0
18,73.79,0.51,-0.20,-0.22,0.41,89.02,100260.30,24.93,0.00,1,0.00,0.00,-0.00,0.00,0
19,73.90,0.33,1.31,8.92,0.36,88.98,100260.73,24.92,0.00,1,0.00,0.00,-0.00,0.00,0
20,74.01,0.52,1.61,11.53,0.30,89.02,100260.25,24.92,0.00,1,0.00,0.00,-0.00,0.00,0
21,74.12,0.47,0.99,11.51,0.25,88.89,100261.82,24.91,0.00,1,0.00,0.00,-0.00,0.00,0
22,74.23,0.60,0.39,10.70,0.22,88.90,100261.77,24.91,0.00,1,0.00,0.00,-0.00,0.00,0
23,74.34,0.39,0.20,10.05,0.20,88.98,100260.80,24.91,0.00,1,0.00,0.00,-0.00,0.00,0
24,74.45,-0.02,0.38,9.15,0.18,88.92,100261.48,24.92,0.00,1,0.00,0.00,-0.00,0.00,0
25,74.55,0.10,0.33,9.44,0.15,88.92,100261.46,24.92,0.00,1,0.00,0.00,-0.00,0.00,0
26,74.66,0.14,0.26,9.92,0.12,88.89,100261.87,24.92,0.00,1,0.00,0.00,-0.00,0.00,0
27,74.77,0.03,0.37,9.96,0.09,88.85,100262.38,24.92,0.00,1,0.00,0.00,-0.00,0.00,0
28,74.88,0.06,0.67,9.81,0.07,88.83,100262.59,24.93,0.00,1,0.00,0.00,-0.00,0.00,0
29,74.98,0.10,0.77,9.68,0.04,88.76,100263.43,24.93,0.00,1,0.00,0.00,-0.00,0.00,0
30,75.09,-0.14,0.70,9.83,0.01,88.76,100263.36,24.93,0.00,1,0.00,0.00,-0.00,0.00,0
31,75.20,-0.61,0.13,10.48,-0.02,88.67,100264.46,24.94,0.00,1,0.00,0.00,-0.00,0.00,0
32,75.30,-0.72,-0.23,10.83,-0.04,88.69,100264.20,24.94,0.00,1,0.00,0.00,-0.00,0.00,0
33,75.41,-0.47,-0.22,10.30,-0.05,88.69,100264.27,24.95,0.00,1,0.00,0.00,-0.00,0.00,0
34,75.52,-0.40,-0.13,9.65,-0.05,88.71,100264.03,24.95,0.00,1,0.00,0.00,-0.00,0.00,0
35,75.63,-0.43,-0.20,9.47,-0.06,88.62,100265.12,24.96,0.00,1,0.00,0.00,-0.00,0.00,0
36,75.73,-0.53,-0.27,9.69,-0.06,88.58,100265.50,24.96,0.00,1,0.00,0.00,-0.00,0.00,0
37,75.84,-0.80,-0.34,9.81,-0.08,88.57,100265.63,24.97,0.00,1,0.00,0.00,-0.00,0.00,0
38,75.95,-0.73,-0.34,9.33,-0.09,88.60,100265.37,24.98,0.00,1,0.00,0.00,-0.00,0.00,0
